latitude,longitude,waterfallok,ad_attempts,ad_opportunities,impressions,start,complete
43.75,-70.28,16,265,20,18,18,18
38.48,-82.66,66,1236,124,102,102,97
34.91,-82.12,37,500,55,46,46,44
41.33,-92.17,9,191,40,33,33,30
29.74,-95.56,1531,22307,1261,1008,959,904
31.7,-89.08,91,1313,94,67,59,54
41.72,-88.11,18,258,11,8,8,8
33.87,-118.37,62,1082,108,93,93,90
29.87,-95.54,205,3166,240,179,178,172
31.26,-89.27,82,1161,60,33,27,24
25.85,-80.23,68,1122,120,97,97,96
47.63,-122.64,107,1599,102,68,68,61
32.08,-81.06,47,875,84,68,68,68
35.15,-90.05,99,1433,101,74,70,66
41.7,-83.61,102,1632,218,192,192,183
28.15,-80.65,89,1422,156,122,122,118
37.02,-76.44,63,1116,214,194,193,188
40.06,-75.14,30,446,31,23,23,21
34.14,-117.16,311,5088,499,428,428,406
27.87,-82.65,26,411,20,10,10,10
42.9,-78.93,24,309,25,25,25,24
41.47,-81.74,127,2286,302,265,264,255
39.5,-87.39,18,295,22,20,20,20
37.51,-122.04,221,3456,324,282,279,269
43.49,-116.62,37,690,67,61,61,58
33.54,-117.71,98,1501,104,84,84,77
33.54,-117.04,192,2944,224,194,194,180
35.95,-78.96,82,1353,112,98,98,96
34.93,-82.01,152,2800,606,573,572,550
33.85,-84.36,120,1727,107,85,85,77
44.98,-93.53,11,162,10,4,4,4
41.76,-88.3,43,807,96,84,84,79
43.19,-89.2,75,1143,198,169,168,162
40.77,-74.49,116,2478,389,343,339,324
40.44,-81.49,92,1604,275,227,227,216
33.07,-84.14,61,725,28,21,21,18
35.53,-82.52,76,1404,290,274,274,261
39.28,-76.62,7,90,5,5,5,4
28.2,-81.5,89,1519,178,137,137,133
35.23,-91.71,21,345,14,11,11,10
35.91,-79.08,15,229,20,12,12,12
34.51,-93.24,2,74,8,7,7,7
29.91,-95.17,41,618,28,19,19,19
26.17,-97.98,95,2045,277,258,258,248
40.15,-87.65,49,675,144,129,128,121
34.12,-118.05,98,1540,117,97,97,92
45.44,-122.97,82,1307,100,92,92,86
45.58,-94.21,54,822,70,32,32,32
42.28,-71.25,18,284,13,7,7,7
40.21,-111.47,17,249,14,12,12,11
38.55,-90.32,97,1553,157,108,106,98
49.32,-123.06,64,635,34,33,33,32
40.68,-73.96,95,1414,108,83,83,77
38.68,-77.32,126,2343,277,242,242,234
-33.84,150.9,33,415,42,42,41,39
42.61,-89.65,6,101,26,25,25,24
36.9,-121.02,300,4650,316,262,262,248
31.76,-106.49,63,906,83,64,64,59
45.54,-73.61,218,2297,153,149,144,143
29.94,-93.88,51,753,69,49,48,42
35.13,-85.38,28,367,27,22,22,22
46.77,-92.13,8,108,6,4,4,4
41.04,-82.02,12,184,33,25,25,23
42.81,-76.13,9,135,22,18,18,18
41.2,-111.95,2,31,1,1,1,1
34.98,-81.61,41,808,97,84,84,82
33.84,-117.2,296,4446,497,439,438,409
31.9,-106.41,126,2119,217,173,173,167
42.05,-88.05,20,343,41,31,31,29
26.46,-98.26,49,1250,160,146,146,143
41.88,-87.98,26,438,34,32,32,29
42.91,-78.63,55,1068,104,87,87,86
34.2,-84.39,36,968,113,92,91,88
25.81,-80.21,49,762,67,46,46,43
33.58,-84.27,33,614,50,35,35,33
41.2,-90.49,2,37,5,1,1,1
35.58,-97.57,56,738,39,23,23,18
35.21,-87.01,14,203,17,11,11,11
43.17,-77.71,114,1745,96,76,74,70
33.39,-84.56,55,857,64,47,47,44
-33.88,151.1,273,2676,32,31,27,25
37.78,-122.41,53,1006,84,74,74,71
39.21,-94.63,74,1103,58,41,37,37
38.09,-85.66,132,1981,160,121,116,108
32.91,-96.74,97,1711,165,133,133,128
41.86,-111.71,19,286,38,35,35,32
34,-118.21,18,322,31,31,31,30
40.8,-78.06,3,36,4,1,1,1
47.24,-122.36,31,419,25,11,11,10
33.45,-84.19,136,2048,171,137,137,133
42.78,-77.78,11,246,31,23,23,23
26.14,-81.8,46,716,65,56,53,52
32.8,-79.95,55,855,36,25,25,24
34.16,-118.52,62,926,42,32,32,29
36.85,-76.1,84,1365,130,107,107,103
27.06,-82.26,33,595,55,50,50,48
41.97,-87.75,37,634,54,44,44,41
33.97,-118.02,42,647,57,46,46,43
37.96,-85.7,53,934,66,51,51,49
40.94,-82.12,5,91,11,6,6,6
38.49,-121.53,195,2937,190,154,154,147
39.01,-77.1,23,344,29,22,21,20
39.12,-76.69,67,1126,111,86,86,86
39.57,-79.94,54,843,80,69,69,67
36.18,-86.64,53,845,67,46,46,44
42.65,-82.93,89,1412,135,114,114,110
29.95,-90.08,152,2275,136,98,74,68
38.94,-77.03,150,2508,194,165,164,158
33.57,-104.42,34,462,22,20,20,17
41.39,-78.79,6,115,16,11,11,11
34.07,-118.24,1073,14718,374,303,294,280
41.6,-93.68,41,774,57,46,46,46
39.86,-83.12,144,2708,361,318,318,308
33.2,-117.38,98,1657,132,104,105,98
42.31,-88.99,72,1531,317,292,291,276
45,-89.73,60,1154,92,76,76,73
37.01,-119.94,109,1762,188,147,147,143
42.27,-83.6,68,900,50,30,30,25
44.94,-93.22,110,1970,245,207,207,198
33.95,-118.3,381,5714,557,487,486,457
37.14,-83.74,29,476,29,22,22,21
53.59,-113.41,124,1249,44,35,35,33
37.34,-121.89,3322,44268,1000,915,912,838
47.2,-122.76,2,39,1,1,1,1
41.78,-87.67,82,1408,127,110,109,105
43.73,-79.39,44,417,6,6,6,6
29.97,-90.09,56,982,75,51,51,48
34.61,-112.32,56,915,75,59,59,57
40.76,-111.86,66,1216,130,107,107,107
42.75,-90.49,10,207,40,29,29,29
29.49,-98.27,335,5181,389,302,289,272
32.37,-96.93,8,141,25,21,21,20
33.26,-116.98,29,424,32,30,30,27
41.82,-89.73,62,905,78,58,58,54
39.11,-94.54,26,366,24,15,15,15
32.99,-80.01,188,2992,311,279,279,267
42.26,-72.58,19,254,16,15,15,14
40.76,-73.58,81,1236,122,111,112,97
35.21,-89.79,29,506,90,77,77,77
33.16,-117.35,42,785,98,93,93,90
42.1,-79.25,133,2126,237,211,211,203
37.81,-122.24,161,2581,241,210,210,201
37.85,-85.9,80,1182,62,44,44,38
45.79,-73.74,24,257,22,20,20,19
29.69,-95.12,55,753,37,21,21,20
36.11,-86.86,22,385,38,29,29,27
35.08,-89.84,39,600,93,76,76,73
40.95,-74.24,134,2018,187,149,149,143
25.58,-80.55,69,1191,110,88,88,84
38.61,-86.07,16,237,39,36,36,35
29.96,-95.74,101,1635,148,97,97,94
35.96,-94.96,36,614,57,50,49,48
34.22,-118.45,13,167,10,7,7,5
40.89,-74.01,98,1756,154,132,132,127
34.08,-118.31,275,4393,360,315,309,299
34.2,-119.17,162,2614,224,184,184,176
41.92,-87.81,57,971,79,67,67,64
32.66,-97.09,67,1229,133,116,116,111
40.39,-81.41,4,45,6,4,4,4
33.83,-96.48,3,55,6,5,5,5
37.86,-84.56,114,1704,144,119,119,116
40.2,-75.54,14,219,13,10,10,9
29.31,-94.77,37,515,58,40,40,36
42.69,-71.31,52,831,48,39,39,38
39.03,-77.24,63,977,68,54,54,50
35.51,-82.7,153,2454,215,181,176,169
39.26,-77.87,34,565,72,66,66,65
34.87,-92.4,82,1269,111,90,90,87
49.32,-122.86,94,960,49,48,48,47
32.85,-97.29,98,1492,91,68,68,66
35.52,-83.27,74,1193,91,74,74,71
47.79,-117.46,231,3815,305,246,246,236
47.74,-121.93,24,382,21,14,14,13
44.49,-88.07,19,324,30,21,21,19
33.22,-87.48,16,228,16,9,9,9
31.07,-96.12,6,71,12,8,8,5
46.19,-123.05,145,2212,179,144,144,137
-27.38,153.03,59,551,1,1,1,
35.46,-97.4,87,1416,108,82,82,79
33.62,-99.31,10,136,1,1,1,1
35.51,-77.41,33,482,32,27,27,24
42.33,-89,12,248,44,41,41,41
48.94,-58.06,3,48,17,17,17,17
40.76,-82.58,27,496,49,44,44,41
38.82,-122.72,5,76,12,11,11,10
40.99,-73.98,5,76,7,6,6,6
40.69,-73.37,134,2050,180,154,154,150
42.34,-88.11,143,2180,197,167,164,153
41.69,-83.73,19,385,65,57,57,57
32.68,-96.93,33,452,28,20,20,18
41.58,-93.68,42,765,71,60,60,59
30.54,-97.92,50,772,60,40,40,37
38.8,-104.78,43,690,47,40,40,39
33.71,-117.76,269,4580,398,336,333,321
26.24,-80.16,53,796,50,42,42,39
39.8,-75.01,95,1500,129,103,102,96
36.34,-79.63,90,1386,74,61,61,58
41.18,-79.38,20,302,27,20,20,20
36.94,-119.56,185,2767,216,187,187,176
39.63,-104.78,99,1450,153,132,131,120
42.79,-80.2,3,30,,,,
42.18,-71.12,17,261,15,7,7,7
29.79,-95.11,56,852,77,64,64,58
34.14,-117.95,99,1463,111,102,101,94
39.12,-122.27,26,367,31,29,29,27
33.71,-118.04,53,793,71,61,61,57
36.71,-120.16,113,1744,94,78,79,76
43.85,-79.12,121,1286,57,56,56,53
27.51,-99.51,33,564,37,28,28,27
40.9,-81.42,36,647,79,66,64,60
34.15,-118.45,11,172,9,8,8,8
34.84,-102.54,27,393,24,19,19,16
34.08,-118.03,50,786,45,37,37,37
33.76,-96.9,2,47,8,6,6,6
43.21,-77.71,58,899,38,33,33,31
32.82,-105.76,6,75,1,1,1,
33.93,-116.49,176,2666,172,154,153,143
39.55,-89.29,12,253,32,27,27,27
30.53,-97.73,64,990,98,69,68,62
38.31,-75.24,41,683,86,75,75,71
33.55,-117.21,71,1167,113,102,100,99
29.96,-89.96,57,1100,93,72,72,68
47.65,-122.41,13,210,19,16,16,16
39.2,-92.13,15,214,5,5,5,5
26.72,-80.34,38,608,44,34,34,31
43.71,-84.24,69,1018,85,72,72,68
30.38,-89.37,9,307,30,29,29,29
39.02,-89.78,15,227,18,15,15,14
38.54,-85.68,47,670,51,45,46,44
